	Cs-137	Cs-137-Al
-44.429146938	0	0
-43.755143752	0	0
-43.080590442	0	0
-42.405487008	0	0
-41.72983345	0	0
-41.053629768	0	0
-40.376875962	0	0
-39.699572032	0	0
-39.021717978	0	0
-38.3433138	0	0
-37.664359498	0	0
-36.984855072	0	0
-36.304800522	0	0
-35.624195848	0	0
-34.94304105	0	0
-34.261336128	0	0
-33.579081082	0	0
-32.896275912	0	0
-32.212920618	0	0
-31.5290152	0	0
-30.844559658	0	0
-30.159553992	0	0
-29.473998202	0	0
-28.787892288	0	0
-28.10123625	0	0
-27.414030088	0	0
-26.726273802	0	0
-26.037967392	0	0
-25.349110858	0	0
-24.6597042	0	0
-23.969747418	0	0
-23.279240512	0	0
-22.588183482	0	0
-21.896576328	0	0
-21.20441905	0	0
-20.511711648	0	0
-19.818454122	0	0
-19.124646472	0	0
-18.430288698	0	0
-17.7353808	0	0
-17.039922778	0	0
-16.343914632	0	0
-15.647356362	0	0
-14.950247968	0	0
-14.25258945	0	0
-13.554380808	0	0
-12.855622042	0	0
-12.156313152	0	0
-11.456454138	0	0
-10.756045	0	0
-10.055085738	0	0
-9.353576352	0	0
-8.651516842	0	0
-7.948907208	0	0
-7.24574745	0	0
-6.542037568	0	0
-5.837777562	0	0
-5.132967432	0	0
-4.427607178	0	0
-3.7216968	0	0
-3.015236298	0	0
-2.308225672	0	0
-1.600664922	0	0
-0.892554047999999	0	0
-0.183893049999999	0	0
0.525318072000001	0	0
1.235079318	0	0
1.945390688	0	0
2.656252182	0	0
3.3676638	0	0
4.079625542	0	0
4.792137408	0	0
5.505199398	0	0
6.218811512	0	0
6.93297375	0	0
7.647686112	0	0
8.362948598	2	0
9.078761208	92	86
9.795123942	2063	2218
10.5120368	10672	10733
11.229499782	12858	12783
11.947512888	11742	11321
12.666076118	10497	10079
13.385189472	9612	9382
14.10485295	8746	8207
14.825066552	8055	7532
15.545830278	7160	6758
16.267144128	6565	6194
16.989008102	6052	5684
17.7114222	5551	5131
18.434386422	5149	4852
19.157900768	4571	4239
19.881965238	4359	4117
20.606579832	3989	3643
21.33174455	3687	3388
22.057459392	3381	3120
22.783724358	3299	2932
23.510539448	2985	2759
24.237904662	2842	2561
24.96582	2655	2494
25.694285462	2539	2295
26.423301048	2388	2195
27.152866758	2193	2122
27.882982592	2187	1963
28.61364855	2002	2050
29.344864632	1923	1964
30.076630838	1759	1802
30.808947168	1814	1755
31.541813622	1772	1768
32.2752302	1758	1700
33.009196902	1769	1663
33.743713728	1691	1648
34.478780678	1665	1626
35.214397752	1650	1625
35.95056495	1673	1680
36.687282272	1660	1581
37.424549718	1642	1608
38.162367288	1638	1619
38.900734982	1567	1642
39.6396528	1611	1610
40.379120742	1574	1525
41.119138808	1596	1583
41.859706998	1621	1621
42.600825312	1624	1632
43.34249375	1545	1602
44.084712312	1562	1681
44.827480998	1567	1600
45.570799808	1623	1652
46.314668742	1588	1632
47.0590878	1538	1710
47.804056982	1622	1698
48.549576288	1556	1618
49.295645718	1665	1623
50.042265272	1699	1680
50.78943495	1573	1631
51.537154752	1692	1608
52.285424678	1604	1718
53.034244728	1630	1679
53.783614902	1643	1633
54.5335352	1642	1648
55.284005622	1733	1655
56.035026168	1703	1709
56.786596838	1701	1721
57.538717632	1618	1716
58.29138855	1679	1656
59.044609592	1672	1593
59.798380758	1707	1674
60.552702048	1681	1724
61.307573462	1657	1715
62.062995	1639	1703
62.818966662	1621	1622
63.575488448	1683	1662
64.332560358	1562	1677
65.090182392	1610	1687
65.84835455	1702	1665
66.607076832	1643	1690
67.366349238	1609	1530
68.126171768	1591	1635
68.886544422	1682	1700
69.6474672	1630	1655
70.408940102	1675	1682
71.170963128	1654	1668
71.933536278	1677	1680
72.696659552	1649	1582
73.46033295	1607	1674
74.224556472	1625	1644
74.989330118	1594	1682
75.754653888	1617	1644
76.520527782	1611	1616
77.2869518	1583	1623
78.053925942	1508	1533
78.821450208	1498	1648
79.589524598	1573	1623
80.358149112	1544	1600
81.12732375	1562	1653
81.897048512	1485	1581
82.667323398	1573	1613
83.438148408	1571	1550
84.209523542	1546	1572
84.9814488	1535	1525
85.753924182	1519	1592
86.526949688	1489	1579
87.300525318	1538	1594
88.074651072	1592	1599
88.84932695	1525	1567
89.624552952	1528	1525
90.400329078	1587	1603
91.176655328	1526	1568
91.953531702	1505	1629
92.7309582	1532	1517
93.508934822	1545	1481
94.287461568	1530	1540
95.066538438	1483	1549
95.846165432	1505	1586
96.62634255	1508	1607
97.407069792	1510	1620
98.188347158	1606	1528
98.970174648	1517	1560
99.752552262	1442	1535
100.53548	1428	1558
101.318957862	1505	1487
102.102985848	1507	1488
102.887563958	1565	1587
103.672692192	1557	1524
104.45837055	1612	1631
105.244599032	1481	1548
106.031377638	1495	1518
106.818706368	1535	1564
107.606585222	1500	1453
108.3950142	1543	1545
109.183993302	1525	1513
109.973522528	1453	1598
110.763601878	1528	1546
111.554231352	1433	1544
112.34541095	1511	1542
113.137140672	1429	1570
113.929420518	1540	1606
114.722250488	1489	1554
115.515630582	1527	1535
